Titre;Composant;Description;Priorit‚;Charge;Developp‚ par;Statut;;;;;;
Cr‚er le reverse proxy;Reverse Proxy;Configurer Nginx ou Traefik pour g‚rer le routage HTTPS, WebSocket et proxy vers les backends.;Haute;1,5 j;Khalil;Fait;;;;;;
D‚ployer le serveur statique;Static Server Backend;H‚berger le contenu statique du cockpit et des interfaces front.;Moyenne;0,5 j;Williams;Fait;;;;;;
Impl‚menter le backend principal;Core Operational Backend;Impl‚menter la logique m‚tier centrale : gestion des entr‚es, commandes, synchronisation avec la base de donn‚es et les capteurs mock.;TrŠs haute;3 j;John;Fait;;;;;;
Mettre en place Redis;Cache Service (Redis);Installer et configurer Redis pour stocker temporairement les donn‚es d?accŠs et les sessions.;Haute;1 j;John;Fait;;;;;;Khalil
D‚ployer la base PostgreSQL;Database Service (Postgres);Cr‚er la base pour les donn‚es statiques (personnes enregistr‚es, paramŠtres).;Haute;1 j;Clement;Fait;;;;;;Ismail
Mettre en place Kafka;Database Service (Kafka Logs);Installer Kafka pour g‚rer les flux de logs et la messagerie distribu‚e.;Haute;1,5 j;Williams;Fait;;;;;;John
Configurer la messagerie distribu‚e;Distributed Messaging;Relier les backends aux topics Kafka (logs, tentatives, t‚l‚metrie).;Moyenne;1 j;Williams;Fait;;;;;;Clement
D‚velopper le backend de t‚l‚metrie;Telemetry to Messaging Backend;Collecter et transmettre les donn‚es IoT vers Kafka (topic Telemetry / Attempts).;Moyenne;1 j;Williams;Fait;;;;;;Williams
Cr‚er le backend de chargement du cache;Cache Loading Backend;Processus p‚riodique pour rafraŒchir les donn‚es du cache depuis la base statique.;Haute;1 j;Clement;En test;;;;;;
D‚velopper le backend cockpit d?entr‚e;Entrance Cockpit Backend;Fournir les API et services pour la console de contr“le d?entr‚e (monitoring, commandes, logs).;TrŠs haute;2 j;Williams;Fait;;;;;;
D‚velopper le front Log real times;Log real times entrie & Manually authorize entrances;D‚veloppement de l'interface agent de s‚curit‚;;1j;Ismail;Fait;;;;;;
D‚velopper le front du cockpit;Entrance Cockpit Front;D‚veloppement du tableau de bord principal avec affichage en temps r‚el (WebSocket/gRPC).;TrŠs haute;2,5 j;Khalil;Fait;;;;;;
Int‚grer les mises … jour temps r‚el;Real Time Front Updates;Int‚gration front-back via WebSocket/gRPC pour les flux de logs et d?‚tat.;Haute;1 j;Williams;Fait;;;;;;
Impl‚menter le contr“le d?identit‚;Identity Security Control;Gestion de la validation des badges en cache (Redis).;Haute;1 j;John;Fait;;;;;;
Impl‚menter l?activation d?entr‚e IoT;Activate IoT Entrance;API permettant d?activer le verrou via le backend.;Moyenne;1 j;John;Fait;;;;;;
Impl‚menter le rejet d?entr‚e IoT;Reject IoT Entrance;API permettant de refuser une tentative d?entr‚e non autoris‚e.;Moyenne;0,5 j;John;Fait;;;;;;
Autorisation manuelle;Manually Authorize Entrances;Interface et API pour autoriser manuellement une entr‚e.;Moyenne;1 j;Williams;Fait;;;;;;
Verrouillage / d‚verrouillage manuel;Controls Lock / Manual Unlock;Commandes d?ouverture/fermeture manuelles simul‚es.;Moyenne;0,5 j;;Fait;;;;;;
G‚rer les logs d?accŠs;Logs / Attempts / Entrance Logs;Collecter, structurer et afficher les logs dans Kafka;Haute;1 j;Williams;Fait;;;;;;
Impl‚menter le broker MQTT;MQTT Broker;Simuler la communication IoT (entr‚es, statuts capteurs).;Moyenne;1 j;John;Fait;;;;;;
Mock des capteurs;Sensors (Badge Sensor, Door Lock);Cr‚er des scripts simulant les capteurs (lecture badge, ouverture porte).;Basse;0,5 j;John;Fait;;;;;;
Cr‚er et Installer les machines ;SystŠme (IPFire & Ubuntu);Cr‚er les VMs et installer;Haute;0,25j;Ismail;Fait;;;;;;
Configurer les interfaces r‚seau;R‚seau (Interfaces);D‚finir et attribuer les IP fixes pour chaque interface (Green, Red).;Haute;0,25j;Ismail;Fait;;;;;;
Param‚trer le DHCP;Service r‚seau (DHCP);Activer le serveur DHCP, d‚finir le pool et ajouter les r‚servations d'adressesÿ;Haute;0,5j;Ismail;Fait;;;;;;
Cr‚er les rŠgles du firewall;S‚curit‚ (Firewall);D‚finir les rŠgles, filtrer les flux entrants/sortants,;Moyenne;0,5j;Ismail;Fait;;;;;;
Ouvrir et s‚curiser SSH;AccŠs distant (SSH);Autoriser le port 22, limiter les IP d?accŠs, configurer la s‚curit‚ SSH pour accŠs distant.;Basse;;Ismail;Fait;;;;;;
Configurer le DNS et la passerelle;Service r‚seau (DNS);D‚finir les serveurs DNS, configurer la passerelle pour l?accŠs internet.;Moyenne;0,25j;Ismail;Fait;;;;;;
Mock Postgres - BD;Liste ‚tudiants;;Basse;0,25j;Ismail;Fait;;;;;;
CRUD liste ‚tudiants (GET);front;Faire un select avec la liste des ‚tudiants (barres de recherches ...);Moyenne;0,5j;Ismail;Fait;;;;;;
SSL Mocks MQTT Broker;Mocks;Faire passer les mocks par le reverse-proxy afin de s‚curiser les envoie au mqtt broker ;Moyenne;0,5j;Williams;Fait;;;;;;
Websocket (WS to WSS) ;Reverse Proxy + Front;Changer la connexion Websocket pour qu'elle soit accept‚e via Https ;Basse;0,5j;Williams;Fait;;;;;;
Communication IoT;Mocks / Telemetry;Connexion et communication entre les mocks et le serveur telemetry;Moyenne;0,5j;John;Fait;;;;;;
;;;;;;;;;;;;
S‚curiser le r‚seau inter-VM;Tunnel VPN (WireGuard);D‚ployer un tunnel WireGuard pour chiffrer toutes les communications entre les VMs backend.; haute;1 j;Khalil;Fait;;;;;;
Mettre en place la BDD Static (docker);Database service;Cr‚er la base de donn‚es postgresql;;1;Cl‚ment;;;;;;;
